"111年11月11日 價格指數(臺灣證券交易所)"
"指數","收盤指數","漲跌(+/-)","漲跌點數","漲跌百分比(%)","特殊處理註記",
"特選臺灣綠能及電動車報酬指數","4,516.24","+","122.35","2.78","",
"特選臺灣智能車供應鏈聯盟報酬指數","4,270.05","+","191.22","4.69","",
"臺灣全市場半導體精選30報酬指數","3,735.77","+","210.77","5.98","",
"特選臺灣高股息30報酬指數","4,192.38","+","73.66","1.79","",
"臺灣友善環境報酬指數","4,513.09","+","168.30","3.87","",
"台灣永續價值報酬指數","4,159.41","+","175.50","4.41","",
"特選臺灣IC設計報酬指數","2,867.55","+","131.16","4.79","",
"特選臺灣環境永續高股息報酬指數","4,287.46","+","62.70","1.48","",
"臺灣友善環境50報酬指數","3,927.98","+","161.90","4.30","",
"特選台灣策略高股息30報酬指數","4,077.98","+","49.29","1.22","",
"特選臺灣IC設計產業代表報酬指數","3,421.78","+","172.24","5.30","",
"特選臺灣綠能報酬指數","4,649.50","+","101.72","2.24","",
"特選臺灣成長高股息報酬指數","4,215.23","+","106.31","2.59","",
"特選臺灣智慧50報酬指數","3,802.52","+","157.59","4.32","",
"特選臺灣標竿PCB報酬指數","3,905.62","+","144.43","3.84","",
"臺灣晶圓製造報酬指數","4,325.55","+","244.40","5.99","",
"臺灣精選高息報酬指數","4,100.71","+","76.94","1.91","",
"臺灣多因子優選高股息30報酬指數","4,942.25","+","112.74","2.33","",
"特選臺灣優利高填息30報酬指數","4,658.85","+","125.81","2.78","",
"報酬指數(臺灣指數公司)"
"報酬指數","收盤指數","漲跌(+/-)","漲跌點數","漲跌百分比(%)","特殊處理註記",
"漲升股利150報酬指數","10,052.59","+","308.05","3.16","",
"藍籌30報酬指數","8,730.84","+","396.80","4.76","",
"工業菁英30報酬指數","9,420.30","+","393.34","4.36","",
"電子菁英30報酬指數","8,865.71","+","355.98","4.18","",
"低波動股利精選30報酬指數","8,078.33","+","116.31","1.46","",
"中小型A級動能50報酬指數","15,466.33","+","212.64","1.39","",
"特選高息低波報酬指數","8,862.30","+","143.76","1.65","",
"臺灣永續報酬指數","9,140.94","+","383.12","4.37","",
"特選內需高收益報酬指數","7,086.48","+","89.98","1.29","",
"價值投資報酬指數","7,308.14","+","169.21","2.37","",
"存股雙十等權重報酬指數","8,147.82","+","202.13","2.54","",
"特選大蘋果報酬指數","7,628.35","+","288.03","3.92","",
"中小型300報酬指數","9,236.11","+","147.44","1.62","",
"特股高息20報酬指數","6,513.72","+","70.47","1.09","",
"臺灣500報酬指數","8,445.36","+","296.29","3.64","",
"臺灣勞工權益報酬指數","8,305.62","+","174.72","2.15","",
"微波高息精選20報酬指數","7,116.40","+","125.70","1.80","",
"特選世代行動通訊報酬指數","6,384.64","+","115.09","1.84","",
"智慧投資多因子30報酬指數","5,310.98","+","163.23","3.17","",
"特選大蘋果報酬正向兩倍指數","11,958.58","+","870.20","7.85","",
"特選大蘋果報酬反向一倍指數","7,465.47","-","304.91","-3.92","",
"特選價值成長報酬指數","7,223.87","+","107.58","1.51","",
"臺灣上櫃永續報酬指數","6,057.26","+","239.97","4.13","",
"特選台股領航報酬指數","7,236.45","+","312.81","4.52","",
"特選Smart多因子報酬指數","5,745.10","+","227.78","4.13","",
"特選ESG高股息報酬指數","4,294.86","+","145.29","3.50","",
"特選上櫃ESG成長報酬指數","4,187.28","+","207.84","5.22","",
"特選上櫃ESG電子菁英報酬指數","4,317.03","+","218.73","5.34","",
"新臺灣高股息報酬指數","4,589.97","+","97.68","2.17","",
"臺灣優息存股報酬指數","4,741.78","+","124.84","2.70","",
"特選上櫃ESG永續高股息報酬指數","5,736.72","+","234.42","4.26","",
"特選臺灣金融高股息存股報酬指數","5,006.69","+","174.84","3.62","",
"111年11月11日 大盤統計資訊"
"成交統計","成交金額(元)","成交股數(股)","成交筆數",
"1.一般股票","315,493,036,256","4,031,017,765","2,018,575",
"2.台灣存託憑證","13,695,348","3,588,676","1,002",
"3.受益憑證","0","0","0",
"4.ETF","22,759,837,622","1,554,643,045","240,403",
"5.受益證券","5,916,556","482,749","111",
"6.變更交易股票","9,082,847","1,693,710","624",
"7.認購(售)權證","2,573,929,480","2,789,392,000","85,434",
"8.轉換公司債","0","0","0",
"9.附認股權特別股","0","0","0",
"10.附認股權公司債","0","0","0",
"11.認股權憑證","0","0","0",
"12.公司債","0","0","0",
"13.ETN","21,203,490","5,145,000","538",
"14.創新板股票","31,169,445","299,140","195",
"15.創新板-變更交易方法股票","0","0","0",
"證券合計(1+6+14+15)","315,533,288,548","4,033,010,615","2,019,394",
"總計(1~15)","340,907,871,044","8,386,262,085","2,346,882",
"漲跌證券數合計"
"類型","整體市場","股票",
"上漲(漲停)","6,373(28)","570(6)",
"下跌(跌停)","3,381(55)","293(0)",
"持平","377","94",
"未成交","12,093","1",
"無比價","2,968","9",
"備註:"
""漲跌價差"為當日收盤價與前一日收盤價比較。",
""無比價"含前一日無收盤價、當日除權、除息、新上市、恢復交易者。",
"外幣成交值係以本公司當日下午3時30分公告匯率換算後加入成交金額。<br>公告匯率請參考本公司首頁>產品與服務>交易系統>雙幣ETF專區>代號對應及每日公告匯率。",

"111年11月11日每日收盤行情(全部(不含權證、牛熊證))"
"(元,股)",,,,,,,,,,,"(元,交易單位)",,,,,
"證券代號","證券名稱","成交股數","成交筆數","成交金額","開盤價","最高價","最低價","收盤價","漲跌(+/-)","漲跌價差","最後揭示買價","最後揭示買量","最後揭示賣價","最後揭示賣量","本益比",
="0050","元大台灣50","35,134,524","24,303","3,816,107,828","108.55","109.00","107.80","109.00","+","5.50","108.95","60","109.00","212","0.00",
="0051","元大中型100","47,318","141","2,505,112","53.00","53.15","52.80","53.00","+","1.10","53.00","3","53.15","1","0.00",
="0052","富邦科技","538,964","628","49,587,077","92.25","92.80","91.30","92.15","+","5.05","92.10","10","92.20","9","0.00",
="0053","元大電子","6,442","863","345,447","53.60","53.80","53.60","53.80","+","2.70","53.80","2","53.85","3","0.00",
="0055","元大MSCI金融","663,568","553","14,518,874","21.63","22.02","21.63","21.99","+","0.68","21.99","1","22.00","16","0.00",
="0056","元大高股息","39,084,604","17,906","978,848,361","25.30","25.34","24.90","25.00","+","0.47","25.00","1,373","25.01","614","0.00",
="0057","富邦摩台","7,971","874","617,231","77.75","77.80","77.15","77.80","+","3.75","77.60","20","77.90","30","0.00",
="0061","元大寶滬深","377,103","887","6,688,672","17.54","17.94","17.54","17.79","+","0.49","17.79","42","17.80","11","0.00",
="006203","元大MSCI台灣","13,530","572","710,422","53.00","53.00","52.40","52.65","+","2.25","52.70","1","52.85","1","0.00",
="006204","永豐臺灣加權","53,296","867","3,726,116","69.80","70.10","69.80","69.90","+","2.40","69.95","3","70.05","12","0.00",
="006205","富邦上証","1,307,536","194","38,860,269","29.70","30.12","29.57","29.76","+","0.74","29.76","75","29.82","1","0.00",
="006206","元大上證50","102,874","995","2,871,272","27.75","28.25","27.75","27.98","+","0.64","27.98","48","28.00","9","0.00",
="006207","FH滬深","86,961","22","2,026,556","23.30","23.39","23.20","23.32","+","0.56","23.32","29","23.35","101","0.00",
="006208","富邦台50","6,562,540","5,955","409,283,689","62.40","62.55","61.90","62.55","+","3.10","62.50","41","62.55","15","0.00",
="00625K","富邦上証+R","0","0","0","--","--","--","--"," ","0.00","6.75","5","6.80","2","0.00",
="00631L","元大台灣50正2","24,648,523","6,696","2,223,081,579","91.30","91.30","89.00","90.65","+","7.05","90.65","154","90.70","82","0.00",
="00632R","元大台灣50反1","587,504,412","20,593","3,559,597,729","6.04","6.11","6.03","6.06","-","0.24","6.05","5,291","6.06","7,378","0.00",
="00633L","富邦上証正2","13,357,149","2,479","469,570,185","34.86","35.91","34.55","35.07","+","1.83","35.07","722","35.08","5","0.00",
="00634R","富邦上証反1","3,630,583","163","17,657,113","4.85","4.91","4.83","4.87","-","0.18","4.86","2","4.87","657","0.00",
="00635U","期元大S&P黃金","927,132","376","21,159,235","22.84","22.88","22.77","22.88","+","0.54","22.88","17","22.90","13","0.00",
="00636","國泰中國A50","1,443,534","741","28,463,725","19.82","19.86","19.60","19.69","+","0.51","19.69","64","19.75","25","0.00",
="00636K","國泰中國A50+U","200","2","1,250","6.25","6.25","6.25","6.25","+","0.22","6.25","1","6.32","1","0.00",
="00637L","元大滬深300正2","117,590,163","11,750","1,625,178,377","13.73","14.05","13.58","13.78","+","0.71","13.78","1,091","13.79","191","0.00",
="00638R","元大滬深300反1","2,312,125","193","24,098,059","10.50","10.50","10.32","10.38","-","0.47","10.37","12","10.38","783","0.00",
="00639","富邦深100","573,901","822","6,973,104","12.00","12.30","12.00","12.13","+","0.32","12.13","66","12.14","11","0.00",
